aX,aY,aZ,gX,gY,gZ
0.068,-0.129,0.937,23.56,-9.949,1.282
0.04,-0.122,0.979,15.747,-15.32,6.287
0.044,-0.014,1.005,-7.629,-11.414,7.568
0.033,0.021,1.014,-8.972,-7.507,5.432
0.029,-0.036,0.998,5.981,-3.662,3.052
0.041,-0.061,0.961,7.202,1.831,0.305
0.051,-0.043,0.959,1.526,4.456,-0.122
0.05,-0.022,0.985,-5.066,4.822,-2.075
0.052,-0.014,0.991,-5.981,5.676,-4.395
0.052,-0.027,0.988,-3.784,6.592,-6.836
0.052,-0.042,0.99,-4.333,7.69,-9.338
0.052,-0.044,0.982,-7.08,8.972,-11.292
0.061,-0.039,0.969,-8.301,10.071,-12.146
0.069,-0.042,0.957,-6.104,10.559,-12.573
0.075,-0.049,0.949,-4.7,9.888,-12.939
0.077,-0.051,0.948,-4.028,8.118,-12.878
0.077,-0.056,0.952,-3.296,5.981,-12.024
0.07,-0.063,0.963,-2.502,3.54,-10.559
0.064,-0.064,0.974,-1.648,1.404,-8.667
0.058,-0.06,0.978,-1.16,0.183,-6.47
0.056,-0.056,0.976,-0.183,-0.061,-4.578
0.059,-0.051,0.967,1.221,0.122,-3.113
0.067,-0.049,0.953,2.075,-0.122,-1.77
0.073,-0.049,0.938,2.319,-1.16,-0.793
0.075,-0.04,0.943,1.953,-3.54,-0.122
0.064,0.023,0.906,-3.113,-7.324,3.601
0.082,0.018,0.913,-1.648,-15.198,-2.258
0.04,-0.041,0.928,9.399,-23.56,-5.066
0.011,-0.066,0.91,41.626,-33.691,-6.531
0.049,-0.087,0.749,65.369,-39.124,-4.883
0.452,-0.099,1.03,14.587,-32.227,0.61
0.264,0.064,1.24,-69.275,-38.086,-1.77
0.06,0.075,1.104,-4.15,-23.56,0.977
0.089,0,0.924,24.536,-7.08,6.531
0.068,-0.129,0.937,23.56,-9.949,1.282
0.04,-0.122,0.979,15.747,-15.32,6.287
0.044,-0.014,1.005,-7.629,-11.414,7.568
0.033,0.021,1.014,-8.972,-7.507,5.432
0.029,-0.036,0.998,5.981,-3.662,3.052
0.041,-0.061,0.961,7.202,1.831,0.305
0.051,-0.043,0.959,1.526,4.456,-0.122
0.05,-0.022,0.985,-5.066,4.822,-2.075
0.052,-0.014,0.991,-5.981,5.676,0
0.052,-0.027,0.988,-3.784,6.592,-6.836
0.052,-0.042,0.99,-4.333,7.69,-9.338
0.052,-0.044,0.982,-7.08,8.972,-11.292
0.061,-0.039,0.969,-8.301,10.071,-12.146
0.069,-0.042,0.957,-6.104,10.559,-12.573
0.075,-0.049,0.949,-4.7,9.888,-12.939
0.077,-0.051,0.948,-4.028,8.118,-12.878
0.077,-0.056,0.952,-3.296,5.981,-12.024
0.07,-0.063,0.963,-2.502,3.54,-10.559
0.064,-0.064,0.974,-1.648,1.404,-8.667
0.058,-0.06,0.978,-1.16,0.183,-6.47
0.056,-0.056,0.976,-0.183,-0.061,-4.578
0.059,-0.051,0.967,1.221,0.122,-3.113
0.067,-0.049,0.953,2.075,-0.122,-1.77
0.073,-0.049,0.938,2.319,-1.16,-0.793
0.075,-0.04,0.943,1.953,-3.54,-0.122
